,movie_id,movie_imdb_id,movie_name,language,overview,release_date,status,rating,vote_count,genre,runtime,poster_url
2344,38665,tt0082648,The Legend of the Lone Ranger,en,"When the young Texas Ranger, John Reid, is the sole survivor of an ambush arranged by the militaristic outlaw leader, Butch Cavendich, he is rescued by an old childhood Comanche friend, Tonto. When he recovers from his wounds, he dedicates his life to fighting the evil that Cavendich represents. To this end, John Reid becomes the great masked western hero, The Lone Ranger. With the help of Tonto, the pair go to rescue President Grant when Cavendich takes him hostage.",1981-08-20,Released,4.8,30,"Action, Adventure, Romance, Western, ",98,https://image.tmdb.org/t/p/original/wNyLler1u10Agn2F2rwlBdGp6Gx.jpg
2345,2575,tt0236784,The Tailor of Panama,en,"A British spy is banished to Panama after having an affair with an ambassador's mistress. Once there he makes connection with a local tailor with a nefarious past and connections to all of the top political and gangster figures in Panama. The tailor also has a wife, who works for the Panamanian president and a huge debt. The mission is to learn what the President intends to do with the Canal.",2001-03-30,Released,6.1,376,"Drama, Thriller, ",109,https://image.tmdb.org/t/p/original/na80ysnoCvoxwGTMWCWYvnmaDlz.jpg
2346,11644,tt0082085,Blow Out,en,"Jack Terry is a master sound recordist who works on grade-B horror movies. Late one evening, he is recording sounds for use in his movies when he hears something unexpected through his sound equipment and records it. Curiosity gets the better of him when the media become involved, and he begins to unravel the pieces of a nefarious conspiracy. As he struggles to survive against his shadowy enemies and expose the truth, he does not know whom he can trust.",1981-07-24,Released,7.347,1059,"Crime, Drama, Mystery, Thriller, ",108,https://image.tmdb.org/t/p/original/weMW1wLzeagP3tw6BfmYf1iL7dz.jpg
2347,146227,tt2167202,Getaway,en,"Former race car driver Brent Magna is pitted against the clock. Desperately trying to save the life of his kidnapped wife, Brent commandeers a custom Ford Shelby GT500 Super Snake, taking it and its unwitting owner on a high-speed race against time, at the command of the mysterious villain holding his wife hostage.",2013-08-29,Released,5.1,544,"Action, Crime, ",90,https://image.tmdb.org/t/p/original/z4sEWm1ykf9WX5WJU4XMD4oI5sI.jpg
2348,68924,tt0119349,The Ice Storm,en,"In the weekend after thanksgiving 1973 the Hood family is skidding out of control. Then an ice storm hits, the worst in a century.",1997-02-05,Released,6.905,496,"Drama, ",112,https://image.tmdb.org/t/p/original/3a6uLta7K8Dzojps4RoJAPHD0km.jpg
2349,253235,tt2465146,And So It Goes,en,A self-centered realtor enlists the help of his neighbor when he's suddenly left in charge of the granddaughter he never knew existed until his estranged son drops her off at his home.,2014-07-17,Released,6.1,397,"Comedy, Drama, Romance, ",94,https://image.tmdb.org/t/p/original/mp6aEHJa1SUQD0BvmbytvVjHk8.jpg
2350,22102,tt0098519,Troop Beverly Hills,en,A Beverly Hills housewife in the middle of a divorce tries to find focus in her life by taking over her daughter's Wilderness Girls troop.,1989-03-22,Released,5.7,138,"Family, Adventure, Comedy, ",105,https://image.tmdb.org/t/p/original/1CXdX5UWsfYlvnus0nJqebk65rR.jpg
2351,15670,tt1142800,Madea Goes to Jail,en,"After a high-speed car chase, Madea winds up behind bars because her quick temper gets the best of her. Meanwhile, Assistant District Attorney Josh Hardaway lands a case that's too personal to handle: that of a young prostitute and former drug addict named Candace. When Candace winds up in jail, Madea takes the young woman under her protective wing.",2009-02-16,Released,6.6,158,"Comedy, Crime, Drama, ",103,https://image.tmdb.org/t/p/original/7eQaD21ps9apMrStB30ZkYzxfSF.jpg
2353,18701,tt0340012,Being Julia,en,"Julia Lambert is a true diva: beautiful, talented, weathly and famous.  She has it all - including a devoted husband who has mastermined her brilliant career - but after years of shining in the spotlight she begins to suffer from a severe case of boredom and longs for something new and exciting to put the twinkle back in her eye.  Julia finds exactly what she's looking for in a handsome young American fan, but it isn't long before the novelty fling adds a few more sparks than she was hoping for.  Fortuately for her, this surprise twist in the plot will thrust her back into the greatest role of her life.",2004-09-03,Released,6.564,78,"Comedy, Drama, Romance, ",104,https://image.tmdb.org/t/p/original/wiJp4pN2bYgtWQqZYZhGNLeFmx8.jpg
2354,10068,tt0091635,Nine 1/2 Weeks,en,"An erotic story about a woman, the assistant of an art gallery, who gets involved in an impersonal affair with a man. She barely knows about his life, only about the sex games they play, so the relationship begins to get complicated.",1986-02-09,Released,6.1,759,"Drama, Romance, ",117,https://image.tmdb.org/t/p/original/vnTCgupgTMZSGbl1InrO2UhTz9S.jpg
